	fs3
0	0.1288933234930898
1	0.13314771119293578
2	0.13740209889278177
3	0.14165648659262864
4	0.1459743726163527
5	0.15022876031619958
6	0.15454664633992365
7	0.15880103403976964
8	0.15959140949080908
9	0.16276632568472404
10	0.1631189200634937
11	0.165941241878639
12	0.16743680608721867
13	0.16911615807255487
14	0.17175469211094363
15	0.17229107426646983
16	0.1755294887842629
17	0.17600907981078961
18	0.17870440497817786
19	0.18032696583451457
20	0.1818793211720937
21	0.18470835018211673
22	0.18511773568988676
23	0.18829265188380173
24	0.1890262362058417
25	0.19153106640159567
26	0.19334412222956665
27	0.19470598259550975
28	0.19766200825329072
29	0.1979443971133037
30	0.20118281163109764
31	0.20204339260089377
32	0.20435772782501171
33	0.20636127862461873
34	0.20759614234280566
35	0.21074266297222088
36	0.2108345568605996
37	0.21162493231163815
38	0.21391087197125724
39	0.21407297137839176
40	0.21506054899594584
41	0.21619681163087634
42	0.2173113858961857
43	0.21841925296661646
44	0.2194419333435489
45	0.22054980041397965
46	0.22070519262623556
47	0.22299113228585465
48	0.22375981936727296
49	0.2237882149317727
50	0.22527707194547286
51	0.22696313112568767
52	0.22756301160509196
53	0.228141203714876
54	0.22984895126471105
55	0.2302015456434816
56	0.23213489092433015
57	0.23245908973860097
58	0.23343996016127466
59	0.23442083058394836
60	0.23661487635518963
61	0.23670677024356745
62	0.23677697576232504
63	0.23899270990318655
64	0.23966279590134754
65	0.24084086849053588
66	0.24127864956280565
67	0.24182173891321046
68	0.2434442997695463
69	0.24356458922242386
70	0.24379018695343824
71	0.24585052888204295
72	0.24630172434406994
73	0.24677460817571806
74	0.24819996686554102
75	0.2499495243696339
76	0.25042911539615975
77	0.2504859065251601
78	0.25277184618477744
79	0.2531879388874261
80	0.2547470014198847
81	0.2550577858443974
82	0.2564898517290981
83	0.2574072238278946
84	0.25912838576748776
85	0.2596931634875137
86	0.25972826624689205
87	0.2619791031471319
88	0.2630301790885641
89	0.2635097701150899
90	0.264265042806751
91	0.26626859360635624
92	0.266487484142492
93	0.26795465278657105
94	0.2681384405633276
95	0.26940840704089375
96	0.26957050644802827
97	0.2715038517288777
98	0.2723360371341741
99	0.2728089209658222
100	0.2737262930646187
101	0.2760757310481141
102	0.27611083380749424
103	0.27678091980565434
104	0.2783616707077341
105	0.2794127466491645
106	0.2807111086912313
107	0.28122580247713547
108	0.2827146594908365
109	0.28306054667472846
110	0.28534648633434756
111	0.2856706851486175
112	0.28601657233250855
113	0.28769592431784385
114	0.2893184851741806
115	0.29004536230134104
116	0.2901155678200986
117	0.2923948002848382
118	0.2926203980158526
119	0.29439164388956574
120	0.29456045049157975
121	0.2947442382683354
122	0.29591560366264513
123	0.29592231085752374
124	0.29709367625183347
125	0.2975030617596026
126	0.2990053331630609
127	0.299027021532682
128	0.2992242236991949
129	0.29944311423533065
130	0.3006144796296395
131	0.30179255221882784
132	0.3021384394027189
133	0.3025261365408669
134	0.3034502158345411
135	0.3036623991757974
136	0.30414199020232413
137	0.3052498572727558
138	0.305891547706417
139	0.3064914281858213
140	0.3067738170458343
141	0.3079585968299021
142	0.30836127514279266
143	0.3088408661693185
144	0.30919346054808905
145	0.30988523491587117
146	0.31125380247669376
147	0.31147269301282954
148	0.31240347950138236
149	0.3124953733897611
150	0.31299665278590805
151	0.31360324046019183
152	0.3145841108828664
153	0.3158607845553112
154	0.315952678443689
155	0.31610807065594493
156	0.3169118604967416
157	0.3176955287529024
158	0.3183021164271862
159	0.31916269739698233
160	0.3192194885259818
161	0.32071505273456147
162	0.3208069466229393
163	0.3213567431682227
164	0.3223309063960187
165	0.32246461023865347
166	0.32306449071805776
167	0.3239183644929762
168	0.32541392870155494
169	0.32544232426605557
170	0.3258300214042036
171	0.3258651241635828
172	0.32702978236301306
173	0.3278268650089311
174	0.32855374213609245
175	0.3291954325697537
176	0.33007770190917185
177	0.33037350515894204
178	0.3315381633583723
179	0.3324906382165471
180	0.33350661139860005
181	0.33488188615430126
182	0.3349670728478005
183	0.33655453094475796
184	0.33807849071783735
185	0.33939026714966136
186	0.33966594881479484
187	0.34118990858787424
188	0.3427773666848317
189	0.3438986481450206
190	0.3443648247817892
191	0.3459522828787467
192	0.3474762426518261
193	0.3484070291403798
194	0.34906370074878357
195	0.35065115884574194
196	0.35223861694269853
197	0.3529154101357399
198	0.3538260750396569
199	0.3554135331366135
200	0.3570009912335719
201	0.3574237911310991
202	0.35858844933052847
203	0.36017590742748684
204	0.3617633655244443
205	0.36193217212645745
206	0.3633508236214018
207	0.3649382817183593
208	0.3665257398153168
209	0.36811319791227426
210	0.36970065600923174
211	0.3712881141061892
